what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1781882086147
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1781882086147
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1781882086148
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1781882086148
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1781882086149
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1781882086149
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1781882086150
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1781882086150
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1781882086150
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1781882086151
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1781882086151
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1781882086151
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1781882086152
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1781882086152
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1781882086152
os,sysinfo,,,"win32",1781882086154
arch,sysinfo,,,"x86",1781882086154
ws,sysinfo,,,"win32",1781882086154
locale,sysinfo,,,"zh_TW",1781882086154
processors,sysinfo,,,"8",1781882086154
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1781882086154
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1781882086154
java.specification.name,sysinfo,,,"Java Platform API Specification",1781882086154
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1781882086154
java.specification.version,sysinfo,,,"1.6",1781882086154
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1781882086154
java.version,sysinfo,,,"1.6.0_23",1781882086154
java.vm.info,sysinfo,,,"mixed mode",1781882086154
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1781882086154
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1781882086154
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1781882086154
java.vm.specification.version,sysinfo,,,"1.0",1781882086154
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1781882086154
java.vm.version,sysinfo,,,"19.0-b09",1781882086154
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1781882092100
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1781882092263
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1781882092281
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1781882092283
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1781882092458
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1781882092476
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1781882092491
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1781882092512
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1781882097598
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1781882097602
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1781882097603
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1781882097604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882097830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882099829
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1781882157180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882157481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882171637
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1781882197844
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1781882197846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882198578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882199855
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1781882205859
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1781882205859
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1781882206949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882207237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882207339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882214895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882214936
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1781882214948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882215288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882281675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882286584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882288938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882297622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882313056
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1781882313085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882313900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882315048
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781882315184
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1781882315527
