what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1781764363761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781764367924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781764369729
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1781764374469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781764374781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781764378751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781764392124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781764393390
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1781764394018
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1781764394042
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1781764396760
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1781764397181
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1781764397208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781764402055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781764417635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781764448529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781764589655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781764589935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781764590897
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781764591117
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1781764591665
