what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1781731983478
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1781731983479
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1781731983480
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1781731983481
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1781731983482
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1781731983483
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1781731983502
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1781731983503
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1781731983504
os,sysinfo,,,"win32",1781731983507
arch,sysinfo,,,"x86",1781731983507
ws,sysinfo,,,"win32",1781731983507
locale,sysinfo,,,"zh_TW",1781731983507
processors,sysinfo,,,"8",1781731983507
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1781731983507
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1781731983507
java.specification.name,sysinfo,,,"Java Platform API Specification",1781731983507
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1781731983507
java.specification.version,sysinfo,,,"1.6",1781731983507
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1781731983507
java.version,sysinfo,,,"1.6.0_23",1781731983507
java.vm.info,sysinfo,,,"mixed mode",1781731983507
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1781731983507
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1781731983507
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1781731983507
java.vm.specification.version,sysinfo,,,"1.0",1781731983507
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1781731983507
java.vm.version,sysinfo,,,"19.0-b09",1781731983507
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1781731983607
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1781731983676
