what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1781722685455
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1781722685455
java.version,sysinfo,,,"1.6.0_23",1781722685455
java.vm.info,sysinfo,,,"mixed mode",1781722685455
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1781722685455
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1781722685455
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1781722685455
java.vm.specification.version,sysinfo,,,"1.0",1781722685455
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1781722685455
java.vm.version,sysinfo,,,"19.0-b09",1781722685455
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1781722685481
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1781722685516
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1781722685545
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1781722685572
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1781722686214
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1781722689347
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1781722693967
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1781722695667
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1781722695667
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1781722695685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781722697529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781722699615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781722702827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781722781349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1781722781362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781722781747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781722783391
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1781722784744
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1781722784782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1781722787534
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1781722787852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781722787883
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1781722787991
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1781722788021
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1781722788022
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1781722788023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781722789203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781722789806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781722793564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1781722798452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781722798787
