what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1781902438982
java.version,sysinfo,,,"1.6.0_23",1781902438982
java.vm.info,sysinfo,,,"mixed mode",1781902438982
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1781902438982
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1781902438982
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1781902438982
java.vm.specification.version,sysinfo,,,"1.0",1781902438982
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1781902438982
java.vm.version,sysinfo,,,"19.0-b09",1781902438982
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1781902452899
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1781902453071
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1781902453100
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1781902453103
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1781902453350
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1781902453378
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1781902453401
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1781902453431
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1781902456215
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1781902456240
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1781902456242
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1781902459170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781902459200
