what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1781912287319
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1781912287319
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1781912287320
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1781912287320
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1781912287321
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1781912287322
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1781912287322
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1781912287323
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1781912287323
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1781912287324
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1781912287324
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1781912287324
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1781912287325
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1781912287325
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1781912287325
os,sysinfo,,,"win32",1781912287327
arch,sysinfo,,,"x86",1781912287327
ws,sysinfo,,,"win32",1781912287327
locale,sysinfo,,,"zh_TW",1781912287327
processors,sysinfo,,,"8",1781912287327
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1781912287327
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1781912287327
java.specification.name,sysinfo,,,"Java Platform API Specification",1781912287327
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1781912287327
java.specification.version,sysinfo,,,"1.6",1781912287327
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1781912287327
java.version,sysinfo,,,"1.6.0_23",1781912287327
java.vm.info,sysinfo,,,"mixed mode",1781912287327
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1781912287327
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1781912287327
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1781912287327
java.vm.specification.version,sysinfo,,,"1.0",1781912287327
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1781912287327
java.vm.version,sysinfo,,,"19.0-b09",1781912287327
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1781912294335
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1781912294421
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1781912294450
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1781912294453
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1781912294642
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1781912294664
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1781912294681
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1781912294706
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1781912295712
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1781912295757
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1781912295761
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1781912317787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912317795
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1781912317865
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1781912317866
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1781912317868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912319487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912323842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912325584
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1781912352472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912352767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912354606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912362804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912363926
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1781912369835
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1781912369836
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1781912371138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912371304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912371374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912378221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912378466
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1781912378479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912383619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912384805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912391291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912391357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912391402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912393957
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1781912393973
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1781912395769
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1781912395941
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1781912395946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912533695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1781912544147
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1781912551992
